dataset,q_id,method,transformation_type,original_query,variation,valid,follow_category
DLTypo,111056,summarization_with_t5-base_from_description_to_title,naturality,what to feed tood frogs,frogs,FALSE,TRUE
DLTypo,99118,WordInnerSwapRandom,ordering,alchol and drug rehab,alchol rehab drug and,TRUE,TRUE
DLTypo,99431,WordInnerSwapRandom,ordering,applying for bussiness loans,bussiness for applying loans,TRUE,TRUE
DLTypo,99450,WordInnerSwapRandom,ordering,ared hat society,ared society hat,TRUE,TRUE
DLTypo,99478,WordInnerSwapRandom,ordering,army physical fittness test,army fittness physical test,TRUE,TRUE
DLTypo,99636,WordInnerSwapRandom,ordering,azygous lobe in the lung,lung lobe in the azygous,TRUE,TRUE
DLTypo,100382,WordInnerSwapRandom,ordering,cache creek casion,creek cache casion,TRUE,TRUE
DLTypo,100508,WordInnerSwapRandom,ordering,car accident lawers,accident car lawers,TRUE,TRUE
DLTypo,2230899496,WordInnerSwapRandom,ordering,congential seizures in dogs,seizures congential in dogs,TRUE,TRUE
DLTypo,102043,WordInnerSwapRandom,ordering,drug teting in animals,in teting drug animals,TRUE,TRUE
DLTypo,102400,WordInnerSwapRandom,ordering,facts about chirs brown,facts chirs about brown,TRUE,TRUE
DLTypo,102610,WordInnerSwapRandom,ordering,flee market buildings,buildings market flee,TRUE,TRUE
DLTypo,103451,WordInnerSwapRandom,ordering,guide to create a cover latter,guide to create a latter cover,TRUE,TRUE
DLTypo,103540,WordInnerSwapRandom,ordering,haravrd medical school,haravrd school medical,TRUE,TRUE
DLTypo,103941,WordInnerSwapRandom,ordering,how did confusianism create order in china,how did china create order in confusianism,TRUE,TRUE
DLTypo,103945,WordInnerSwapRandom,ordering,how do i clean my computor monitor screen,monitor do i clean my computor how screen,TRUE,TRUE
DLTypo,103963,WordInnerSwapRandom,ordering,how far is it from san diego to tiajuana mexico,mexico far is it from san diego to tiajuana how,TRUE,TRUE
DLTypo,103970,WordInnerSwapRandom,ordering,how long does amoxicilin work for,work long does amoxicilin how for,TRUE,TRUE
DLTypo,103973,WordInnerSwapRandom,ordering,how long to wait after an oral intervew,how long wait to after an oral intervew,TRUE,TRUE
DLTypo,103983,WordInnerSwapRandom,ordering,how money does the show seinfled make,show money does the how seinfled make,TRUE,TRUE
DLTypo,104002,WordInnerSwapRandom,ordering,how to blanch frise,blanch to how frise,TRUE,TRUE
DLTypo,104009,WordInnerSwapRandom,ordering,how to clean siver,how to siver clean,TRUE,TRUE
DLTypo,104012,WordInnerSwapRandom,ordering,how to clear bad exzema,how to clear exzema bad,TRUE,TRUE
DLTypo,104037,WordInnerSwapRandom,ordering,how to get ride of dust mites,how to get mites of dust ride,TRUE,TRUE
DLTypo,104047,WordInnerSwapRandom,ordering,how to lay basemen drain pipes,how lay to basemen drain pipes,TRUE,TRUE
DLTypo,104063,WordInnerSwapRandom,ordering,how to plant a graden,how a plant to graden,TRUE,TRUE
DLTypo,104107,WordInnerSwapRandom,ordering,how to write a foral letter,how letter write a foral to,TRUE,TRUE
DLTypo,104345,WordInnerSwapRandom,ordering,information on water lilly,information lilly water on,TRUE,TRUE
DLTypo,104867,WordInnerSwapRandom,ordering,kenmore elite refridgerator,elite kenmore refridgerator,TRUE,TRUE
DLTypo,104925,WordInnerSwapRandom,ordering,kindey bun levels,kindey levels bun,TRUE,TRUE
DLTypo,105415,WordInnerSwapRandom,ordering,los angelel unified school district,unified angelel los school district,TRUE,TRUE
DLTypo,105581,WordInnerSwapRandom,ordering,mab about you,mab you about,TRUE,TRUE
DLTypo,105826,WordInnerSwapRandom,ordering,mason dixson line,dixson mason line,TRUE,TRUE
DLTypo,105899,WordInnerSwapRandom,ordering,medal taste in mouth symptoms,medal mouth in taste symptoms,TRUE,TRUE
DLTypo,106158,WordInnerSwapRandom,ordering,mobile omes for sale,mobile sale for omes,TRUE,TRUE
DLTypo,107625,WordInnerSwapRandom,ordering,polar hear rate monitor,polar hear monitor rate,TRUE,TRUE
DLTypo,108039,WordInnerSwapRandom,ordering,real gohst pics,real pics gohst,TRUE,TRUE
DLTypo,108875,WordInnerSwapRandom,ordering,singer axel rose,rose axel singer,TRUE,TRUE
DLTypo,109323,WordInnerSwapRandom,ordering,steelers heinz filed tickets,steelers tickets filed heinz,TRUE,TRUE
DLTypo,4271677555,WordInnerSwapRandom,ordering,stint for kidney stones,stint for stones kidney,TRUE,TRUE
DLTypo,109410,WordInnerSwapRandom,ordering,student loans from a banck,banck loans from a student,TRUE,TRUE
DLTypo,109537,WordInnerSwapRandom,ordering,symptoms of gential herpes,gential of symptoms herpes,TRUE,TRUE
DLTypo,109599,WordInnerSwapRandom,ordering,taning bed eye damage,taning eye bed damage,TRUE,TRUE
DLTypo,109832,WordInnerSwapRandom,ordering,the great catsby,catsby great the,TRUE,TRUE
DLTypo,109873,WordInnerSwapRandom,ordering,the miami hearld,hearld miami the,TRUE,TRUE
DLTypo,109978,WordInnerSwapRandom,ordering,things to do when broed,things to broed when do,TRUE,TRUE
DLTypo,110090,WordInnerSwapRandom,ordering,toliet gurgles after flushing,toliet gurgles flushing after,TRUE,TRUE
DLTypo,110271,WordInnerSwapRandom,ordering,troy built tiller,built troy tiller,TRUE,TRUE
DLTypo,110434,WordInnerSwapRandom,ordering,university of tennesse,tennesse of university,TRUE,TRUE
DLTypo,110445,WordInnerSwapRandom,ordering,untied health care,health untied care,TRUE,TRUE
DLTypo,110633,WordInnerSwapRandom,ordering,venitian las vegas,vegas las venitian,TRUE,TRUE
DLTypo,110843,WordInnerSwapRandom,ordering,washington state goverment,goverment state washington,TRUE,TRUE
DLTypo,110992,WordInnerSwapRandom,ordering,what causes stomache cancer,what causes cancer stomache,TRUE,TRUE
DLTypo,110999,WordInnerSwapRandom,ordering,what does excupatory mean,does what excupatory mean,TRUE,TRUE
DLTypo,111002,WordInnerSwapRandom,ordering,what does the declaration of independance represent,what does the declaration represent independance of,TRUE,TRUE
DLTypo,111014,WordInnerSwapRandom,ordering,what is acid reflex,what reflex acid is,TRUE,TRUE
DLTypo,1245295473,WordInnerSwapRandom,ordering,what is acreis,acreis is what,TRUE,TRUE
DLTypo,111024,WordInnerSwapRandom,ordering,what is hepatitus,hepatitus is what,TRUE,TRUE
DLTypo,111026,WordInnerSwapRandom,ordering,what is leader of algonquians civilization,is what leader of algonquians civilization,TRUE,TRUE
DLTypo,111043,WordInnerSwapRandom,ordering,what kind of medicine is zytec,what kind medicine of is zytec,TRUE,TRUE
DLTypo,111056,WordInnerSwapRandom,ordering,what to feed tood frogs,feed to what tood frogs,TRUE,TRUE
DLTypo,99118,WordSwapEmbedding,synonym,alchol and drug rehab,alchol and medicine rehab,TRUE,TRUE
DLTypo,99431,WordSwapEmbedding,synonym,applying for bussiness loans,enforcing for bussiness loans,FALSE,TRUE
DLTypo,99450,WordSwapEmbedding,synonym,ared hat society,ared hats society,TRUE,f
DLTypo,99478,WordSwapEmbedding,synonym,army physical fittness test,army corporal fittness test,TRUE,TRUE
DLTypo,99636,WordSwapEmbedding,synonym,azygous lobe in the lung,azygous temporal in the lung,FALSE,TRUE
DLTypo,100382,WordSwapEmbedding,synonym,cache creek casion,cache stream casion,TRUE,TRUE
DLTypo,100508,WordSwapEmbedding,synonym,car accident lawers,car mishap lawers,TRUE,TRUE
DLTypo,2230899496,WordSwapEmbedding,synonym,congential seizures in dogs,congential foreclosures in dogs,FALSE,TRUE
DLTypo,102043,WordSwapEmbedding,synonym,drug teting in animals,medications teting in animals,TRUE,TRUE
DLTypo,102400,WordSwapEmbedding,synonym,facts about chirs brown,facts about chirs brownish,FALSE,TRUE
DLTypo,102610,WordSwapEmbedding,synonym,flee market buildings,flee mercado buildings,TRUE,TRUE
DLTypo,103451,WordSwapEmbedding,synonym,guide to create a cover latter,guidebook to create a cover latter,TRUE,TRUE
DLTypo,103540,WordSwapEmbedding,synonym,haravrd medical school,haravrd medical teaching,TRUE,TRUE
DLTypo,103941,WordSwapEmbedding,synonym,how did confusianism create order in china,how did confusianism create order in hwa,FALSE,TRUE
DLTypo,103945,WordSwapEmbedding,synonym,how do i clean my computor monitor screen,how do i clean my computor supervises screen,FALSE,TRUE
DLTypo,103963,WordSwapEmbedding,synonym,how far is it from san diego to tiajuana mexico,how far is it from san diego to tiajuana mexican,TRUE,TRUE
DLTypo,103970,WordSwapEmbedding,synonym,how long does amoxicilin work for,how long does amoxicilin collaborating for,FALSE,TRUE
DLTypo,103973,WordSwapEmbedding,synonym,how long to wait after an oral intervew,how long to wait after an orally intervew,TRUE,TRUE
DLTypo,103983,WordSwapEmbedding,synonym,how money does the show seinfled make,how money does the shows seinfled make,TRUE,TRUE
DLTypo,104002,WordSwapEmbedding,synonym,how to blanch frise,how to blanche frise,TRUE,TRUE
DLTypo,104009,WordSwapEmbedding,synonym,how to clean siver,how to pur siver,FALSE,TRUE
DLTypo,104012,WordSwapEmbedding,synonym,how to clear bad exzema,how to clear naughty exzema,TRUE,TRUE
DLTypo,104037,WordSwapEmbedding,synonym,how to get ride of dust mites,how to obtains ride of dust mites,FALSE,TRUE
DLTypo,104047,WordSwapEmbedding,synonym,how to lay basemen drain pipes,how to lay basemen drain pipelines,TRUE,TRUE
DLTypo,104063,WordSwapEmbedding,synonym,how to plant a graden,how to installations a graden,TRUE,TRUE
DLTypo,104107,WordSwapEmbedding,synonym,how to write a foral letter,how to handwriting a foral letter,TRUE,TRUE
DLTypo,104345,WordSwapEmbedding,synonym,information on water lilly,info on water lilly,TRUE,TRUE
DLTypo,104867,WordSwapEmbedding,synonym,kenmore elite refridgerator,kenmore elitist refridgerator,TRUE,TRUE
DLTypo,104925,WordSwapEmbedding,synonym,kindey bun levels,kindey bun tiers,TRUE,TRUE
DLTypo,105415,WordSwapEmbedding,synonym,los angelel unified school district,los angelel unified school districts,TRUE,TRUE
DLTypo,105581,WordSwapEmbedding,synonym,mab about you,mab about you,FALSE,FALSE
DLTypo,105826,WordSwapEmbedding,synonym,mason dixson line,masson dixson line,TRUE,FALSE
DLTypo,105899,WordSwapEmbedding,synonym,medal taste in mouth symptoms,ornaments taste in mouth symptoms,FALSE,TRUE
DLTypo,106158,WordSwapEmbedding,synonym,mobile omes for sale,mobiles omes for sale,TRUE,TRUE
DLTypo,107625,WordSwapEmbedding,synonym,polar hear rate monitor,polar hear rate monitored,TRUE,TRUE
DLTypo,108039,WordSwapEmbedding,synonym,real gohst pics,authentic gohst pics,TRUE,TRUE
DLTypo,108875,WordSwapEmbedding,synonym,singer axel rose,singer axel soars,FALSE,TRUE
DLTypo,109323,WordSwapEmbedding,synonym,steelers heinz filed tickets,texans heinz filed tickets,FALSE,TRUE
DLTypo,4271677555,WordSwapEmbedding,synonym,stint for kidney stones,stint for dialysis stones,TRUE,TRUE
DLTypo,109410,WordSwapEmbedding,synonym,student loans from a banck,student borrowing from a banck,TRUE,TRUE
DLTypo,109537,WordSwapEmbedding,synonym,symptoms of gential herpes,symptom of gential herpes,TRUE,TRUE
DLTypo,109599,WordSwapEmbedding,synonym,taning bed eye damage,taning bedside eye damage,TRUE,TRUE
DLTypo,109832,WordSwapEmbedding,synonym,the great catsby,the whopping catsby,FALSE,TRUE
DLTypo,109873,WordSwapEmbedding,synonym,the miami hearld,the miami hearld,FALSE,FALSE
DLTypo,109978,WordSwapEmbedding,synonym,things to do when broed,matters to do when broed,TRUE,TRUE
DLTypo,110090,WordSwapEmbedding,synonym,toliet gurgles after flushing,toliet gurgles after rinse,FALSE,TRUE
DLTypo,110271,WordSwapEmbedding,synonym,troy built tiller,trojans built tiller,FALSE,TRUE
DLTypo,110434,WordSwapEmbedding,synonym,university of tennesse,academia of tennesse,TRUE,TRUE
DLTypo,110445,WordSwapEmbedding,synonym,untied health care,untied healthcare care,TRUE,TRUE
DLTypo,110633,WordSwapEmbedding,synonym,venitian las vegas,venitian la vegas,TRUE,FALSE
DLTypo,110843,WordSwapEmbedding,synonym,washington state goverment,washington state governmental,TRUE,TRUE
DLTypo,110992,WordSwapEmbedding,synonym,what causes stomache cancer,what causes stomache tumors,TRUE,TRUE
DLTypo,110999,WordSwapEmbedding,synonym,what does excupatory mean,what does excupatory imply,TRUE,TRUE
DLTypo,111002,WordSwapEmbedding,synonym,what does the declaration of independance represent,what does the declaration of independance representing,TRUE,TRUE
DLTypo,111014,WordSwapEmbedding,synonym,what is acid reflex,what is acid reflexes,TRUE,TRUE
DLTypo,1245295473,WordSwapEmbedding,synonym,what is acreis,what is acreis,FALSE,FALSE
DLTypo,111024,WordSwapEmbedding,synonym,what is hepatitus,what is hepatitus,FALSE,FALSE
DLTypo,111026,WordSwapEmbedding,synonym,what is leader of algonquians civilization,what is ringleader of algonquians civilization,TRUE,TRUE
DLTypo,111043,WordSwapEmbedding,synonym,what kind of medicine is zytec,what kind of medicines is zytec,TRUE,TRUE
DLTypo,111056,WordSwapEmbedding,synonym,what to feed tood frogs,what to feed tood toads,TRUE,TRUE
DLTypo,99118,WordSwapNeighboringCharacterSwap,mispelling,alchol and drug rehab,alchol and drug erhab,TRUE,TRUE
DLTypo,99431,WordSwapNeighboringCharacterSwap,mispelling,applying for bussiness loans,applying for bussiness lonas,TRUE,TRUE
DLTypo,99450,WordSwapNeighboringCharacterSwap,mispelling,ared hat society,aerd hat society,TRUE,TRUE
DLTypo,99478,WordSwapNeighboringCharacterSwap,mispelling,army physical fittness test,arym physical fittness test,TRUE,TRUE
DLTypo,99636,WordSwapNeighboringCharacterSwap,mispelling,azygous lobe in the lung,azyguos lobe in the lung,TRUE,TRUE
DLTypo,100382,WordSwapNeighboringCharacterSwap,mispelling,cache creek casion,cache creek csaion,TRUE,TRUE
DLTypo,100508,WordSwapNeighboringCharacterSwap,mispelling,car accident lawers,car accident lwaers,TRUE,TRUE
DLTypo,2230899496,WordSwapNeighboringCharacterSwap,mispelling,congential seizures in dogs,conegntial seizures in dogs,TRUE,TRUE
DLTypo,102043,WordSwapNeighboringCharacterSwap,mispelling,drug teting in animals,drug teting in animlas,TRUE,TRUE
DLTypo,102400,WordSwapNeighboringCharacterSwap,mispelling,facts about chirs brown,facts about chirs borwn,TRUE,TRUE
DLTypo,102610,WordSwapNeighboringCharacterSwap,mispelling,flee market buildings,flee market buildnigs,TRUE,TRUE
DLTypo,103451,WordSwapNeighboringCharacterSwap,mispelling,guide to create a cover latter,guide to create a cover altter,TRUE,TRUE
DLTypo,103540,WordSwapNeighboringCharacterSwap,mispelling,haravrd medical school,ahravrd medical school,TRUE,TRUE
DLTypo,103941,WordSwapNeighboringCharacterSwap,mispelling,how did confusianism create order in china,how did conufsianism create order in china,TRUE,TRUE
DLTypo,103945,WordSwapNeighboringCharacterSwap,mispelling,how do i clean my computor monitor screen,how do i clean my computor monitor sceren,TRUE,TRUE
DLTypo,103963,WordSwapNeighboringCharacterSwap,mispelling,how far is it from san diego to tiajuana mexico,how far is it from san diego to tiaujana mexico,TRUE,TRUE
DLTypo,103970,WordSwapNeighboringCharacterSwap,mispelling,how long does amoxicilin work for,how long does amoxicilin owrk for,TRUE,TRUE
DLTypo,103973,WordSwapNeighboringCharacterSwap,mispelling,how long to wait after an oral intervew,how long to awit after an oral intervew,TRUE,TRUE
DLTypo,103983,WordSwapNeighboringCharacterSwap,mispelling,how money does the show seinfled make,how money does the show seifnled make,TRUE,TRUE
DLTypo,104002,WordSwapNeighboringCharacterSwap,mispelling,how to blanch frise,how to blanch fries,TRUE,TRUE
DLTypo,104009,WordSwapNeighboringCharacterSwap,mispelling,how to clean siver,how to clean isver,TRUE,TRUE
DLTypo,104012,WordSwapNeighboringCharacterSwap,mispelling,how to clear bad exzema,how to clear bda exzema,TRUE,TRUE
DLTypo,104037,WordSwapNeighboringCharacterSwap,mispelling,how to get ride of dust mites,how to gte ride of dust mites,TRUE,TRUE
DLTypo,104047,WordSwapNeighboringCharacterSwap,mispelling,how to lay basemen drain pipes,how to lay basemen drain ppies,TRUE,TRUE
DLTypo,104063,WordSwapNeighboringCharacterSwap,mispelling,how to plant a graden,how to palnt a graden,TRUE,TRUE
DLTypo,104107,WordSwapNeighboringCharacterSwap,mispelling,how to write a foral letter,how to rwite a foral letter,TRUE,TRUE
DLTypo,104345,WordSwapNeighboringCharacterSwap,mispelling,information on water lilly,information on waetr lilly,TRUE,TRUE
DLTypo,104867,WordSwapNeighboringCharacterSwap,mispelling,kenmore elite refridgerator,kenmoer elite refridgerator,TRUE,TRUE
DLTypo,104925,WordSwapNeighboringCharacterSwap,mispelling,kindey bun levels,kindey ubn levels,TRUE,TRUE
DLTypo,105415,WordSwapNeighboringCharacterSwap,mispelling,los angelel unified school district,los angelel unified school disrtict,TRUE,TRUE
DLTypo,105581,WordSwapNeighboringCharacterSwap,mispelling,mab about you,amb about you,TRUE,TRUE
DLTypo,105826,WordSwapNeighboringCharacterSwap,mispelling,mason dixson line,mason idxson line,TRUE,TRUE
DLTypo,105899,WordSwapNeighboringCharacterSwap,mispelling,medal taste in mouth symptoms,medal taste in mouth symtpoms,TRUE,TRUE
DLTypo,106158,WordSwapNeighboringCharacterSwap,mispelling,mobile omes for sale,ombile omes for sale,TRUE,TRUE
DLTypo,107625,WordSwapNeighboringCharacterSwap,mispelling,polar hear rate monitor,polar hear rate mnoitor,TRUE,TRUE
DLTypo,108039,WordSwapNeighboringCharacterSwap,mispelling,real gohst pics,real gohst pcis,TRUE,TRUE
DLTypo,108875,WordSwapNeighboringCharacterSwap,mispelling,singer axel rose,singer axel orse,TRUE,TRUE
DLTypo,109323,WordSwapNeighboringCharacterSwap,mispelling,steelers heinz filed tickets,steelers ehinz filed tickets,TRUE,TRUE
DLTypo,4271677555,WordSwapNeighboringCharacterSwap,mispelling,stint for kidney stones,stint for ikdney stones,TRUE,TRUE
DLTypo,109410,WordSwapNeighboringCharacterSwap,mispelling,student loans from a banck,sutdent loans from a banck,TRUE,TRUE
DLTypo,109537,WordSwapNeighboringCharacterSwap,mispelling,symptoms of gential herpes,symptoms of gentila herpes,TRUE,TRUE
DLTypo,109599,WordSwapNeighboringCharacterSwap,mispelling,taning bed eye damage,taning bed eey damage,TRUE,TRUE
DLTypo,109832,WordSwapNeighboringCharacterSwap,mispelling,the great catsby,the rgeat catsby,TRUE,TRUE
DLTypo,109873,WordSwapNeighboringCharacterSwap,mispelling,the miami hearld,the mimai hearld,TRUE,TRUE
DLTypo,109978,WordSwapNeighboringCharacterSwap,mispelling,things to do when broed,things to do when rboed,TRUE,TRUE
DLTypo,110090,WordSwapNeighboringCharacterSwap,mispelling,toliet gurgles after flushing,tloiet gurgles after flushing,TRUE,TRUE
DLTypo,110271,WordSwapNeighboringCharacterSwap,mispelling,troy built tiller,troy bulit tiller,TRUE,TRUE
DLTypo,110434,WordSwapNeighboringCharacterSwap,mispelling,university of tennesse,unviersity of tennesse,TRUE,TRUE
DLTypo,110445,WordSwapNeighboringCharacterSwap,mispelling,untied health care,untied health crae,TRUE,TRUE
DLTypo,110633,WordSwapNeighboringCharacterSwap,mispelling,venitian las vegas,venitian las vgeas,TRUE,TRUE
DLTypo,110843,WordSwapNeighboringCharacterSwap,mispelling,washington state goverment,wsahington state goverment,TRUE,TRUE
DLTypo,110992,WordSwapNeighboringCharacterSwap,mispelling,what causes stomache cancer,what causse stomache cancer,TRUE,TRUE
DLTypo,110999,WordSwapNeighboringCharacterSwap,mispelling,what does excupatory mean,what does excupatory eman,TRUE,TRUE
DLTypo,111002,WordSwapNeighboringCharacterSwap,mispelling,what does the declaration of independance represent,what does the declaration of independance repreesnt,TRUE,TRUE
DLTypo,111014,WordSwapNeighboringCharacterSwap,mispelling,what is acid reflex,what is caid reflex,TRUE,TRUE
DLTypo,1245295473,WordSwapNeighboringCharacterSwap,mispelling,what is acreis,what is acresi,TRUE,TRUE
DLTypo,111024,WordSwapNeighboringCharacterSwap,mispelling,what is hepatitus,what is hpeatitus,TRUE,TRUE
DLTypo,111026,WordSwapNeighboringCharacterSwap,mispelling,what is leader of algonquians civilization,what is laeder of algonquians civilization,TRUE,TRUE
DLTypo,111043,WordSwapNeighboringCharacterSwap,mispelling,what kind of medicine is zytec,what kind of medicine is zytce,TRUE,TRUE
DLTypo,111056,WordSwapNeighboringCharacterSwap,mispelling,what to feed tood frogs,what to efed tood frogs,TRUE,TRUE
DLTypo,99118,WordSwapQWERTY,mispelling,alchol and drug rehab,alchol and drug reuab,TRUE,TRUE
DLTypo,99431,WordSwapQWERTY,mispelling,applying for bussiness loans,applying for busslness loans,TRUE,TRUE
DLTypo,99450,WordSwapQWERTY,mispelling,ared hat society,zred hat society,TRUE,TRUE
DLTypo,99478,WordSwapQWERTY,mispelling,army physical fittness test,army physical fittnrss test,TRUE,TRUE
DLTypo,99636,WordSwapQWERTY,mispelling,azygous lobe in the lung,azygous oobe in the lung,TRUE,TRUE
DLTypo,100382,WordSwapQWERTY,mispelling,cache creek casion,cache crfek casion,TRUE,TRUE
DLTypo,100508,WordSwapQWERTY,mispelling,car accident lawers,dar accident lawers,TRUE,TRUE
DLTypo,2230899496,WordSwapQWERTY,mispelling,congential seizures in dogs,congential seizurds in dogs,TRUE,TRUE
DLTypo,102043,WordSwapQWERTY,mispelling,drug teting in animals,drug teting in animaps,TRUE,TRUE
DLTypo,102400,WordSwapQWERTY,mispelling,facts about chirs brown,facts about chies brown,TRUE,TRUE
DLTypo,102610,WordSwapQWERTY,mispelling,flee market buildings,flee marlet buildings,TRUE,TRUE
DLTypo,103451,WordSwapQWERTY,mispelling,guide to create a cover latter,guide to crdate a cover latter,TRUE,TRUE
DLTypo,103540,WordSwapQWERTY,mispelling,haravrd medical school,haravrd medlcal school,TRUE,TRUE
DLTypo,103941,WordSwapQWERTY,mispelling,how did confusianism create order in china,how did confusixnism create order in china,TRUE,TRUE
DLTypo,103945,WordSwapQWERTY,mispelling,how do i clean my computor monitor screen,how do i clean my compktor monitor screen,TRUE,TRUE
DLTypo,103963,WordSwapQWERTY,mispelling,how far is it from san diego to tiajuana mexico,how far is it from san diego to tiajuana kexico,TRUE,TRUE
DLTypo,103970,WordSwapQWERTY,mispelling,how long does amoxicilin work for,how long does amoxiculin work for,TRUE,TRUE
DLTypo,103973,WordSwapQWERTY,mispelling,how long to wait after an oral intervew,how lonr to wait after an oral intervew,TRUE,TRUE
DLTypo,103983,WordSwapQWERTY,mispelling,how money does the show seinfled make,how money does the show seinfled nake,TRUE,TRUE
DLTypo,104002,WordSwapQWERTY,mispelling,how to blanch frise,how to blanch frisw,TRUE,TRUE
DLTypo,104009,WordSwapQWERTY,mispelling,how to clean siver,how to clean slver,TRUE,TRUE
DLTypo,104012,WordSwapQWERTY,mispelling,how to clear bad exzema,how to cleaf bad exzema,TRUE,TRUE
DLTypo,104037,WordSwapQWERTY,mispelling,how to get ride of dust mites,how to get ride of dust mitea,TRUE,TRUE
DLTypo,104047,WordSwapQWERTY,mispelling,how to lay basemen drain pipes,how to lay bqsemen drain pipes,TRUE,TRUE
DLTypo,104063,WordSwapQWERTY,mispelling,how to plant a graden,how to plwnt a graden,TRUE,TRUE
DLTypo,104107,WordSwapQWERTY,mispelling,how to write a foral letter,how to write a forak letter,TRUE,TRUE
DLTypo,104345,WordSwapQWERTY,mispelling,information on water lilly,infotmation on water lilly,TRUE,TRUE
DLTypo,104867,WordSwapQWERTY,mispelling,kenmore elite refridgerator,ksnmore elite refridgerator,TRUE,TRUE
DLTypo,104925,WordSwapQWERTY,mispelling,kindey bun levels,kindey buh levels,TRUE,TRUE
DLTypo,105415,WordSwapQWERTY,mispelling,los angelel unified school district,lps angelel unified school district,TRUE,TRUE
DLTypo,105581,WordSwapQWERTY,mispelling,mab about you,jab about you,TRUE,TRUE
DLTypo,105826,WordSwapQWERTY,mispelling,mason dixson line,mason dixqon line,TRUE,TRUE
DLTypo,105899,WordSwapQWERTY,mispelling,medal taste in mouth symptoms,medal taste in mouth symptojs,TRUE,TRUE
DLTypo,106158,WordSwapQWERTY,mispelling,mobile omes for sale,mobile omfs for sale,TRUE,TRUE
DLTypo,107625,WordSwapQWERTY,mispelling,polar hear rate monitor,polar hear rate monitot,TRUE,TRUE
DLTypo,108039,WordSwapQWERTY,mispelling,real gohst pics,resl gohst pics,TRUE,TRUE
DLTypo,108875,WordSwapQWERTY,mispelling,singer axel rose,singer axel rosd,TRUE,TRUE
DLTypo,109323,WordSwapQWERTY,mispelling,steelers heinz filed tickets,steeldrs heinz filed tickets,TRUE,TRUE
DLTypo,4271677555,WordSwapQWERTY,mispelling,stint for kidney stones,stint for kidney stoneq,TRUE,TRUE
DLTypo,109410,WordSwapQWERTY,mispelling,student loans from a banck,student loabs from a banck,TRUE,TRUE
DLTypo,109537,WordSwapQWERTY,mispelling,symptoms of gential herpes,symptoms of gential hegpes,TRUE,TRUE
DLTypo,109599,WordSwapQWERTY,mispelling,taning bed eye damage,taning brd eye damage,TRUE,TRUE
DLTypo,109832,WordSwapQWERTY,mispelling,the great catsby,the great catsbj,TRUE,TRUE
DLTypo,109873,WordSwapQWERTY,mispelling,the miami hearld,the miami hearlf,TRUE,TRUE
DLTypo,109978,WordSwapQWERTY,mispelling,things to do when broed,things to do when brodd,TRUE,TRUE
DLTypo,110090,WordSwapQWERTY,mispelling,toliet gurgles after flushing,toliey gurgles after flushing,TRUE,TRUE
DLTypo,110271,WordSwapQWERTY,mispelling,troy built tiller,froy built tiller,TRUE,TRUE
DLTypo,110434,WordSwapQWERTY,mispelling,university of tennesse,universiyy of tennesse,TRUE,TRUE
DLTypo,110445,WordSwapQWERTY,mispelling,untied health care,untied health caee,TRUE,TRUE
DLTypo,110633,WordSwapQWERTY,mispelling,venitian las vegas,venitian las vedas,TRUE,TRUE
DLTypo,110843,WordSwapQWERTY,mispelling,washington state goverment,washington stahe goverment,TRUE,TRUE
DLTypo,110992,WordSwapQWERTY,mispelling,what causes stomache cancer,what causes stomache csncer,TRUE,TRUE
DLTypo,110999,WordSwapQWERTY,mispelling,what does excupatory mean,what does excupatory mesn,TRUE,TRUE
DLTypo,111002,WordSwapQWERTY,mispelling,what does the declaration of independance represent,what does the declaration of independance reprssent,TRUE,TRUE
DLTypo,111014,WordSwapQWERTY,mispelling,what is acid reflex,what is ackd reflex,TRUE,TRUE
DLTypo,1245295473,WordSwapQWERTY,mispelling,what is acreis,what is wcreis,TRUE,TRUE
DLTypo,111024,WordSwapQWERTY,mispelling,what is hepatitus,what is heoatitus,TRUE,TRUE
DLTypo,111026,WordSwapQWERTY,mispelling,what is leader of algonquians civilization,what is leader of algonquians civklization,TRUE,TRUE
DLTypo,111043,WordSwapQWERTY,mispelling,what kind of medicine is zytec,what kind of mddicine is zytec,TRUE,TRUE
DLTypo,111056,WordSwapQWERTY,mispelling,what to feed tood frogs,what to feed tood fgogs,TRUE,TRUE
DLTypo,99118,WordSwapRandomCharacterSubstitution,mispelling,alchol and drug rehab,alchop and drug rehab,TRUE,TRUE
DLTypo,99431,WordSwapRandomCharacterSubstitution,mispelling,applying for bussiness loans,ajplying for bussiness loans,TRUE,TRUE
DLTypo,99450,WordSwapRandomCharacterSubstitution,mispelling,ared hat society,aled hat society,TRUE,TRUE
DLTypo,99478,WordSwapRandomCharacterSubstitution,mispelling,army physical fittness test,army physical fittness tlst,TRUE,TRUE
DLTypo,99636,WordSwapRandomCharacterSubstitution,mispelling,azygous lobe in the lung,azygous lobe in the sung,TRUE,TRUE
DLTypo,100382,WordSwapRandomCharacterSubstitution,mispelling,cache creek casion,cache areek casion,TRUE,TRUE
DLTypo,100508,WordSwapRandomCharacterSubstitution,mispelling,car accident lawers,car accideny lawers,TRUE,TRUE
DLTypo,2230899496,WordSwapRandomCharacterSubstitution,mispelling,congential seizures in dogs,fongential seizures in dogs,TRUE,TRUE
DLTypo,102043,WordSwapRandomCharacterSubstitution,mispelling,drug teting in animals,drug teting in antmals,TRUE,TRUE
